DATEPRD,WELL_BORE_CODE,AVG_DOWNHOLE_PRESSURE,AVG_DOWNHOLE_TEMPERATURE,BORE_OIL_VOL
04-Jan-16,NO 15/9-F-1 C,284.269,106.160,83
05-Jan-16,NO 15/9-F-1 C,277.916,107.549,33
06-Jan-16,NO 15/9-F-1 C,264.792,108.060,94
07-Jan-16,NO 15/9-F-1 C,255.156,108.180,165
08-Jan-16,NO 15/9-F-1 C,249.944,108.173,194
09-Jan-16,NO 15/9-F-1 C,246.178,108.149,206
10-Jan-16,NO 15/9-F-1 C,244.588,108.072,187
11-Jan-16,NO 15/9-F-1 C,243.198,108.032,170
12-Jan-16,NO 15/9-F-1 C,242.526,108.001,157
13-Jan-16,NO 15/9-F-1 C,240.059,108.072,233
14-Jan-16,NO 15/9-F-1 C,236.321,108.120,258
15-Jan-16,NO 15/9-F-1 C,235.445,108.055,200
16-Jan-16,NO 15/9-F-1 C,234.172,108.048,199
17-Jan-16,NO 15/9-F-1 C,233.165,108.034,197
18-Jan-16,NO 15/9-F-1 C,231.726,108.056,198
19-Jan-16,NO 15/9-F-1 C,229.560,108.108,258
20-Jan-16,NO 15/9-F-1 C,227.722,107.987,151
06-Feb-16,NO 15/9-F-1 C,282.771,105.032,66
07-Feb-16,NO 15/9-F-1 C,272.324,107.662,52
08-Feb-16,NO 15/9-F-1 C,265.138,107.898,73
09-Feb-16,NO 15/9-F-1 C,258.254,108.056,119
10-Feb-16,NO 15/9-F-1 C,251.451,108.149,207
11-Feb-16,NO 15/9-F-1 C,245.655,108.180,210
12-Feb-16,NO 15/9-F-1 C,241.080,108.156,308
13-Feb-16,NO 15/9-F-1 C,239.048,108.070,293
14-Feb-16,NO 15/9-F-1 C,236.790,108.058,241
15-Feb-16,NO 15/9-F-1 C,234.790,108.041,240
16-Feb-16,NO 15/9-F-1 C,233.138,108.023,237
17-Feb-16,NO 15/9-F-1 C,231.651,108.010,237
18-Feb-16,NO 15/9-F-1 C,230.407,107.995,232
